t,signal_state,EW_approaching,NS_approaching
51.8,NS_YELLOW,0,0
51.9,NS_YELLOW,0,0
52.0,NS_YELLOW,0,0
52.1,NS_YELLOW,0,0
52.2,NS_YELLOW,0,0
52.3,NS_YELLOW,0,0
52.4,ALL_RED,0,0
52.5,ALL_RED,0,0
52.6,ALL_RED,0,0
52.7,ALL_RED,0,0
52.8,ALL_RED,0,0
52.9,ALL_RED,0,0
53.0,ALL_RED,0,0
53.1,ALL_RED,0,0
53.2,ALL_RED,0,0
53.3,ALL_RED,0,0
53.4,ALL_RED,0,0
53.5,NS_GREEN,0,0
53.6,NS_GREEN,0,0
53.7,NS_GREEN,0,0
53.8,NS_GREEN,0,0
53.9,NS_GREEN,0,0
54.0,NS_GREEN,0,0
54.1,NS_GREEN,0,0
54.2,NS_GREEN,0,0
54.3,NS_GREEN,0,0
54.4,NS_GREEN,0,0
54.5,NS_GREEN,0,0
54.6,NS_GREEN,0,0
54.7,NS_GREEN,0,0
54.8,NS_GREEN,0,0
54.9,NS_GREEN,0,0
55.0,NS_GREEN,0,0
55.1,NS_GREEN,0,0
55.2,NS_GREEN,0,0
55.3,NS_GREEN,0,0
55.4,NS_GREEN,0,0
55.5,NS_GREEN,0,0
55.6,NS_GREEN,0,0
55.7,NS_GREEN,0,0
55.8,NS_GREEN,0,0
55.9,NS_GREEN,0,0
56.0,NS_GREEN,0,0
56.1,NS_GREEN,0,0
56.2,NS_GREEN,0,0
56.3,NS_GREEN,0,0
56.4,NS_GREEN,0,0
56.5,NS_GREEN,0,0
56.6,NS_GREEN,0,0
56.7,NS_GREEN,0,0
56.8,NS_GREEN,0,0
56.9,NS_GREEN,0,0
57.0,NS_GREEN,0,0
57.1,NS_GREEN,0,0
57.2,NS_GREEN,0,0
57.3,NS_GREEN,0,0
57.4,NS_GREEN,0,0
57.5,NS_GREEN,0,0
57.6,NS_GREEN,0,0
57.7,NS_GREEN,0,0
57.8,NS_GREEN,0,0
57.9,NS_GREEN,0,0
58.0,NS_GREEN,0,0
58.1,NS_GREEN,0,0
58.2,NS_GREEN,0,0
58.3,NS_GREEN,0,0
58.4,NS_GREEN,0,0
58.5,NS_GREEN,0,0
58.6,NS_GREEN,0,0
58.7,NS_GREEN,0,0
58.8,NS_GREEN,0,0
58.9,NS_GREEN,0,0
59.0,NS_GREEN,0,0
59.1,NS_GREEN,0,0
59.2,NS_GREEN,0,0
59.3,NS_GREEN,0,0
59.4,NS_GREEN,0,0
59.5,NS_GREEN,0,0
59.6,NS_GREEN,0,0
59.7,NS_GREEN,0,0
59.8,NS_GREEN,0,0
59.9,NS_GREEN,0,0
60.0,NS_GREEN,0,0
